id,categoria,subcategoria,item,marca_modelo,unidade,quantidade_inicial,estoque_minimo,preco_unit_min,preco_unit_max,prioridade,fase_compra,status_sanitario,ambiente,grupo_escolha,fornecedor,url,observacao,data_preco
13,Equipamentos,Esterilização,Autoclave compacta,Cristófoli Amora 4–5 L,un,1,0,2700,3790,CONDICIONAL,Fase 1,VALIDAR REGISTRO E FLUXO,Área técnica,AUTOCLAVE,Cristófoli,https://cristofoli.com/,Comprar somente se houver processamento interno autorizado; considerar CME terceirizada.,2026-08-29
14,Equipamentos,Esterilização,Autoclave 12 L,Cristófoli Vitale Class,un,1,0,5900,7000,CONDICIONAL,Expansão,VALIDAR REGISTRO E FLUXO,Área técnica,AUTOCLAVE,Cristófoli,https://cristofoli.com/,Opção para maior fluxo e rastreabilidade.,2026-08-29
15,Equipamentos,Esterilização,Seladora de grau cirúrgico,Cristófoli ou Selamaxx,un,1,0,269,1500,CONDICIONAL,Fase 1,VALIDAR COMPATIBILIDADE,Área técnica,,Dental Cremer,https://www.dentalcremer.com.br/,Dimensionar conforme largura das embalagens.,2026-08-29
16,Equipamentos,Cadeia fria,Câmara de conservação 100–120 L,Elber ou Indrel,un,1,0,6500,8500,CONDICIONAL,Fase 2,VALIDAR CALIBRAÇÃO E LICENÇA,Estoque,,Elber,https://www.elber.ind.br,Obrigatória apenas quando o portfólio exigir; não usar frigobar doméstico para estoque profissional sem validação local.,2026-08-29
17,Equipamentos,Cadeia fria,Termômetro de máxima e mínima,Incoterm,un,1,1,80,150,CONDICIONAL,Fase 2,CALIBRAR,Estoque,,Incoterm,https://www.incoterm.com.br,Registrar temperatura conforme POP e bula dos produtos.,2026-08-29
18,Equipamentos,Cadeia fria,Data logger de temperatura,Elitech ou Testo,un,1,0,250,500,CONDICIONAL,Fase 2,CALIBRAR,Estoque,,Elitech,https://www.elitechbrasil.com.br,Manter plano de contingência e histórico.,2026-08-29
19,Mobiliário,Sala,Maca elétrica 2 motores,Nacional com assistência e revestimento lavável,un,1,0,3500,7000,ALTA,Fase 1,VERIFICAR REGISTRO/ENQUADRAMENTO,Sala de procedimentos,,Cotação local,,Capacidade mínima desejável de 180 kg; exigir garantia e assistência.,2026-08-29
20,Mobiliário,Sala,Mocho sela ergonômico,"Estek, Salus ou equivalente",un,2,0,400,850,ALTA,Fase 1,NÃO REGULADO/VERIFICAR,Sala de procedimentos,,Estek,https://www.estek.com.br/moveis-estetica/cadeiras-mochos,Um principal e um auxiliar.,2026-08-29
21,Mobiliário,Sala,Carrinho auxiliar com gavetas,Superfície lisa e rodízios,un,2,0,400,900,ALTA,Fase 1,NÃO REGULADO,Sala de procedimentos,,Cotação local,,Separar carrinho limpo de apoio ao procedimento.,2026-08-29
22,Mobiliário,Sala,Lupa luminária LED articulada,Estek ou equivalente,un,1,0,350,800,MÉDIA,Fase 1,VERIFICAR ENQUADRAMENTO,Sala de procedimentos,,Estek,https://www.estek.com.br/lupas-e-focos,Base estável e superfícies laváveis.,2026-08-29
23,Mobiliário,Sala,Armário clínico sob medida com bancada e cuba,MDF hospitalar/compacto impermeável,conj,1,0,3500,8000,ALTA,Obra,NÃO REGULADO,Sala de procedimentos,,Marcenaria local,,"Rodapé recuado, ferragens resistentes e bancada sem juntas abertas.",2026-08-29
24,Mobiliário,Técnica,Armário alto fechado,Melamínico lavável,un,2,0,1200,2500,ALTA,Obra,NÃO REGULADO,Estoque/área técnica,,Marcenaria local,,"Separar material limpo, químicos e estoque.",2026-08-29
25,Mobiliário,Recepção,Poltrona/cadeira lavável,Courino ou vinil; duas com braços,un,4,0,160,400,ALTA,Fase 1,NÃO REGULADO,Recepção,,MadeiraMadeira,https://www.madeiramadeira.com.br/busca/poltrona%20para%20recepcao%20de%20clinica,"Confirmar capacidade, espuma e garantia.",2026-08-29
26,Mobiliário,Recepção,Balcão com trecho acessível,Sob medida,conj,1,0,2500,5000,ALTA,Obra,ACESSIBILIDADE,Recepção,,Marcenaria local,,Trecho acessível conforme NBR 9050 e planta A-03.,2026-08-29
27,Mobiliário,Recepção,Mesa lateral lavável,Bordas arredondadas,un,1,0,180,350,MÉDIA,Fase 1,NÃO REGULADO,Recepção,,Varejo,,Evitar vidro solto.,2026-08-29
28,Conforto,Recepção,Filtro/bebedouro,Bancada ou coluna,un,1,0,300,900,MÉDIA,Fase 1,HIGIENIZAÇÃO,Recepção,,Varejo,,Manter troca de filtro e limpeza registradas.,2026-08-29
29,Conforto,Recepção,Cafeteira compacta,Desligamento automático,un,1,0,300,650,BAIXA,Fase 1,HIGIENIZAÇÃO,Recepção,,Varejo,,Posicionar fora da rota e longe de documentos.,2026-08-29
30,Conforto,Recepção,Roteador Wi-Fi dual band,Rede de visitantes separada,un,1,0,300,700,ALTA,Fase 1,SEGURANÇA DIGITAL,Administração,,Varejo,,Separar rede pública da rede clínica.,2026-08-29
31,Conforto,Recepção,Persiana rolô tela solar,Sob medida,un,1,0,350,900,MÉDIA,Fase 1,NÃO REGULADO,Recepção,,Cotação local,,Material lavável.,2026-08-29
32,Conforto,Recepção,Kit sinalização e identificação,Comunicação visual,conj,1,0,200,500,ALTA,Fase 1,ACESSIBILIDADE,Recepção,,Gráfica local,,"Incluir sanitário acessível, saída e orientações.",2026-08-29
33,Conforto,Recepção,Kit água/café e descartáveis,Bandeja lavável,conj,1,1,120,250,MÉDIA,Fase 1,HIGIENIZAÇÃO,Recepção,,Varejo,,Reposição mensal conforme consumo.,2026-08-29
34,Conforto,Recepção,Lixeira com pedal 10–15 L,Cor clara e lavável,un,1,0,70,130,ALTA,Fase 1,PGRSS,Recepção,,Varejo,,"Resíduo comum, segregado dos resíduos de serviço de saúde.",2026-08-29
35,Materiais,Descartáveis,Algodão hidrófilo,Cremer ou Apolo 500 g,pct,4,1,25,35,ALTA,Fase 1,USO GERAL,Estoque,,Dental Cremer,https://www.dentalcremer.com.br/,Armazenar seco e fechado.,2026-08-29
36,Materiais,Descartáveis,Gaze estéril,Cremer ou Neve,cx,2,1,40,60,ALTA,Fase 1,USO GERAL,Estoque,,Dental Cremer,https://www.dentalcremer.com.br/,Confirmar apresentação e unidades por caixa.,2026-08-29
37,Materiais,Descartáveis,Hastes flexíveis,Cremer ou equivalente c/150,cx,2,1,8,12,MÉDIA,Fase 1,USO GERAL,Estoque,,Distribuidor,,Não usar em campo estéril salvo produto apropriado.,2026-08-29
38,Materiais,Descartáveis,Microaplicadores,FGM/KG c/100,tubo,2,1,15,25,MÉDIA,Fase 1,USO GERAL,Estoque,,Dental Cremer,https://www.dentalcremer.com.br/,Conferir registro/enquadramento.,2026-08-29
39,Materiais,Descartáveis,Espátulas de madeira,Theoto/Talge c/100,pct,2,1,8,15,MÉDIA,Fase 1,USO GERAL,Estoque,,Distribuidor,,Uso único.,2026-08-29
40,Materiais,EPI,Luvas nitrílicas sem pó,Supermax/Medix/Descarpack c/100,cx,4,1,25,40,ALTA,Fase 1,VALIDAR REGISTRO,Estoque,,Dental Cremer,https://www.dentalcremer.com.br/descartaveis/luvas.html,Comprar tamanhos conforme equipe.,2026-08-29
41,Materiais,EPI,Máscara cirúrgica tripla,Descarpack/SSPlus c/50,cx,4,1,7,15,ALTA,Fase 1,VALIDAR REGISTRO,Estoque,,Distribuidor,,Uso conforme avaliação de risco.,2026-08-29
42,Materiais,EPI,Respirador PFF2,3M/Delta Plus,un,20,5,4,10,MÉDIA,Fase 1,VALIDAR CA,Estoque,,Distribuidor EPI,,Uso conforme risco e POP.,2026-08-29
43,Materiais,EPI,Touca descartável,Medix/Descarpack c/100,pct,2,1,8,15,MÉDIA,Fase 1,VALIDAR REGISTRO,Estoque,,Distribuidor,,Uso conforme procedimento.,2026-08-29
44,Materiais,EPI,Propé descartável,Medix/Protdesc c/100,pct,2,1,13,30,BAIXA,Fase 1,VALIDAR NECESSIDADE,Estoque,,Distribuidor,,Não substituir política de limpeza de piso.,2026-08-29
45,Materiais,EPI,Avental TNT manga longa,Descarpack c/10,pct,4,1,33,65,MÉDIA,Fase 1,VALIDAR REGISTRO,Estoque,,Distribuidor,,Quantidade inicial reduzida; ajustar ao risco real.,2026-08-29
46,Materiais,EPI,Óculos de proteção,Danny/Delta Plus,un,3,1,5,20,ALTA,Fase 1,VALIDAR CA,Sala de procedimentos,,Distribuidor EPI,,"Operador, paciente e reserva.",2026-08-29
47,Materiais,Descartáveis,Lençol de papel 70 cm × 50 m,Plumax/Gupe Pel,rolo,4,1,18,25,ALTA,Fase 1,USO GERAL,Estoque,,Magazine Médica,https://magazinemedica.com.br/categorias/descartaveis/lencois/,Ajustar consumo ao comprimento da maca.,2026-08-29
48,Materiais,Descartáveis,Babador impermeável c/100,Hospflex/Medix,pct,1,1,15,25,BAIXA,Fase 1,USO GERAL,Estoque,,Dental Cremer,https://www.dentalcremer.com.br/,Opcional por procedimento.,2026-08-29
49,Materiais,Descartáveis,Campo fenestrado estéril 40 × 40,PolarFix,un,20,10,5,8,CONDICIONAL,Fase 2,VALIDAR REGISTRO,Estoque,,Distribuidor,,Somente procedimentos autorizados.,2026-08-29
50,Materiais,Descartáveis,Micropore,3M/Missner,rolo,4,1,8,15,MÉDIA,Fase 1,VALIDAR REGISTRO,Estoque,,Distribuidor,,Manter em local seco.,2026-08-29
51,Materiais,Biossegurança,Sabonete líquido para mãos,Linha profissional 1 L,frasco,2,1,20,35,ALTA,Fase 1,VALIDAR REGISTRO,Sala/área técnica/sanitário,,Distribuidor,,Compatível com dispensador.,2026-08-29
52,Materiais,Biossegurança,Preparação alcoólica 70%,Produto regular 1 L,frasco,4,1,12,20,ALTA,Fase 1,VALIDAR REGISTRO,Estoque,,Distribuidor,,Inflamável; armazenar longe de calor.,2026-08-29
53,Materiais,Biossegurança,Antisséptico de pele,Clorexidina em apresentação apropriada,frasco,2,1,25,50,ALTA,Fase 1,VALIDAR INDICAÇÃO E REGISTRO,Estoque,,Rioquímica,https://www.rioquimica.com.br,Selecionar concentração/formulação pelo POP e procedimento; não intercambiar apresentações.,2026-08-29
54,Materiais,Biossegurança,Detergente enzimático 1 L,Riozyme/Endozime,frasco,1,1,70,100,CONDICIONAL,Fase 1,VALIDAR REGISTRO E DILUIÇÃO,Área técnica,,Distribuidor,,Somente se houver processamento interno.,2026-08-29
55,Materiais,Biossegurança,Desinfetante de superfície 1 L,Uso em serviços de saúde,frasco,2,1,50,100,ALTA,Fase 1,VALIDAR REGISTRO E COMPATIBILIDADE,Estoque,,Rioquímica,https://www.rioquimica.com.br,"Compatível com maca, bancada e equipamentos.",2026-08-29
56,Materiais,PGRSS,Coletor perfurocortante 3 L,Descarpack/Flexpell,un,5,2,8,15,CONDICIONAL,Fase 2,VALIDAR REGISTRO,Sala de procedimentos,,Distribuidor,,Não ultrapassar linha de enchimento.,2026-08-29
57,Materiais,PGRSS,Saco branco leitoso 15 L c/100,ABNT aplicável,pct,1,1,15,30,CONDICIONAL,Fase 2,PGRSS,Área técnica,,Distribuidor,,Confirmar segregação e coleta local.,2026-08-29
58,Materiais,PGRSS,Lixeira com pedal 15 L,Lisa e lavável,un,4,0,60,100,ALTA,Fase 1,PGRSS,Clínica,,Varejo,,Identificar conforme tipo de resíduo.,2026-08-29
59,Insumos,Aparelhos,Gel condutor incolor 5 kg,Carbogel/RMC,bag,1,1,35,50,MÉDIA,Fase 2,VALIDAR REGISTRO/COMPATIBILIDADE,Estoque,,Distribuidor,,Usar somente onde o manual exigir; Sonofocus pode usar pad específico.,2026-08-29
60,Insumos,Aparelhos,Gel glicerinado para radiofrequência 1 kg,RMC ou equivalente,pote,2,1,25,40,CONDICIONAL,Fase 2,VALIDAR COMPATIBILIDADE,Estoque,,Distribuidor,,Comprar apenas se RF for selecionada.,2026-08-29
61,Insumos,Aparelhos,Focus Pad Sonofocus c/2,Ibramed,pct,5,2,30,35,CONDICIONAL,Fase 2,VALIDAR MODELO,Estoque,,MedEstec,https://www.medestec.com.br/eletroterapia/hifu/novo-sonofocus-aparelho-hifu-de-ultrassom-focalizado-micro-e-macrofocado-de-alta-intensidade-ibramed,Comprar somente com Sonofocus e conforme protocolo do fabricante.,2026-08-29
62,Insumos,Limpeza de pele,Kit profissional de limpeza,Bioage Bio-Clean System,kit,1,1,473,473,ALTA,Fase 1,VALIDAR NOTIFICAÇÃO E LOTE,Estoque,,Bioage,https://www.bioageprofissional.com.br/protocolo-limpeza-de-pele-bio-clean-system,Fabricante declara cinco produtos e rendimento de 50 aplicações.,2026-08-29
63,Insumos,Limpeza de pele,Kit profissional de limpeza,Tulípia Kit Esteticista,kit,1,1,0,0,MÉDIA,Fase 1,VALIDAR PREÇO/NOTIFICAÇÃO,Estoque,KIT_COSMETICO,Tulípia,https://tulipia.com.br/kit-esteticista-iniciante/p,Alternativa ao Bioage; preço exige cadastro/cotação.,2026-08-29
64,Insumos,Limpeza de pele,Kit profissional de limpeza,ADCOS Pro,kit,1,1,0,0,BAIXA,Expansão,VALIDAR PREÇO/DOCUMENTAÇÃO,Estoque,KIT_COSMETICO,ADCOS,https://www.adcosprofissional.com.br/,Fornecedor exige validação documental profissional.,2026-08-29
65,Insumos,Peeling ultrassônico,Solução/meio aprovado pelo fabricante,Conforme manual Sonopeel,frasco,1,1,0,0,CONDICIONAL,Fase 2,VALIDAR COMPATIBILIDADE,Estoque,,Distribuidor autorizado,https://ibramed.com.br/peeling-ultrassonico/sonopeel/,"Cadastrar marca, apresentação, preço e validade somente após confirmação no manual vigente.",2026-08-29
66,Insumos,Aparelhos,Lenços desidratados c/100,Santa Clara,pct,2,1,15,25,MÉDIA,Fase 1,USO GERAL,Estoque,,Distribuidor,,Ajustar ao protocolo de limpeza.,2026-08-29
67,Insumos,Aparelhos,Filme osmótico 100 m,Santa Clara,rolo,1,1,10,20,MÉDIA,Fase 1,USO GERAL,Estoque,,Distribuidor,,Uso conforme cosmético e POP.,2026-08-29
68,Injetáveis condicionais,Dispositivos,Seringa Luer Lock 1 mL c/100,BD/Descarpack,cx,1,1,40,70,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO,Estoque,,Distribuidor autorizado,,Lote e validade vinculados ao atendimento.,2026-08-29
69,Injetáveis condicionais,Dispositivos,Agulhas para injetáveis c/100,BD/Descarpack; calibres definidos pelo RT,cx,1,1,35,90,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO,Estoque,,Distribuidor autorizado,,Não definir calibre sem protocolo do responsável técnico.,2026-08-29
70,Injetáveis condicionais,Dispositivos,Microcânulas c/10,TSK ou regular equivalente,cx,2,1,150,250,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO,Estoque,,Distribuidor autorizado,,Tamanhos definidos pelo responsável técnico.,2026-08-29
71,Injetáveis condicionais,Toxina,Toxina botulínica tipo A 100 U,Marca regular selecionada pelo RT,frasco,4,1,630,800,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO E BULA,Cadeia fria/estoque,,Distribuidor autorizado,,"Estoque piloto; armazenamento individual conforme bula, sem regra genérica.",2026-08-29
72,Injetáveis condicionais,Preenchedor,Ácido hialurônico 1 mL,Rennova/Restylane/Juvéderm ou regular,seringa,6,2,210,1150,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO E REGISTRO,Estoque,,Distribuidor autorizado,,Perfis reológicos e indicações definidos pelo RT; rastrear lote.,2026-08-29
73,Injetáveis condicionais,Bioestimulador,PLLA,Sculptra ou regular equivalente,un,2,1,825,1200,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO E REGISTRO,Estoque,,My Galderma Store,https://www.galdermaaesthetics.com.br/bioestimulador-recuperacao-firmeza-cutanea,Registro Sculptra 80251760008 informado pelo fabricante; preço unitário depende da apresentação.,2026-08-29
74,Injetáveis condicionais,Bioestimulador,CaHA,Radiesse ou regular equivalente,seringa,2,1,620,730,BLOQUEADO,Após licença,BLOQUEADO ATÉ HABILITAÇÃO E REGISTRO,Estoque,,Distribuidor autorizado,,"Estoque piloto; validar registro, lote e bula.",2026-08-29
75,Injetáveis condicionais,Intercorrência,Hialuronidase,Produto regular definido pelo RT,frasco,2,1,180,250,BLOQUEADO,Antes do primeiro preenchimento,BLOQUEADO ATÉ PRESCRIÇÃO/HABILITAÇÃO,Estoque de emergência,,Distribuidor autorizado,,Sem protocolo ou dose neste planejamento; controle de acesso e validade.,2026-08-29
76,Injetáveis condicionais,Intercorrência,Kit de emergência,Conteúdo definido e assinado pelo RT,kit,1,1,500,2000,BLOQUEADO,Antes de procedimentos invasivos,BLOQUEADO ATÉ RESPONSÁVEL TÉCNICO,Sala de procedimentos,,Fornecedor autorizado,,"Lista, treinamento, checagem e reposição definidos por profissional habilitado.",2026-08-29
77,Apoio clínico,Sinais vitais,Esfigmomanômetro adulto,Omron ou equipamento regular,un,1,0,180,450,ALTA,Fase 1,VALIDAR REGISTRO E CALIBRAÇÃO,Sala de procedimentos,,Distribuidor saúde,,Modelo adequado ao responsável técnico e treinamento.,2026-08-29
78,Apoio clínico,Sinais vitais,Estetoscópio,Littmann/Spirit ou regular,un,1,0,150,750,MÉDIA,Fase 1,VALIDAR REGISTRO,Sala de procedimentos,,Distribuidor saúde,,Seleção pelo responsável técnico.,2026-08-29
79,Apoio clínico,Sinais vitais,Oxímetro de pulso,G-Tech/MD ou regular,un,1,1,90,350,ALTA,Fase 1,VALIDAR REGISTRO,Sala de procedimentos,,Distribuidor saúde,,Manter pilhas e teste funcional.,2026-08-29
80,Apoio clínico,Sinais vitais,Termômetro clínico digital,G-Tech/Incoterm ou regular,un,2,1,25,80,MÉDIA,Fase 1,VALIDAR REGISTRO,Sala de procedimentos,,Distribuidor saúde,,Um principal e um reserva.,2026-08-29
81,Apoio clínico,Fotografia,Tripé estável para smartphone,Cabeça ajustável,un,1,0,150,500,ALTA,Fase 1,NÃO REGULADO,Avaliação,,Varejo,,Marcar posição fixa no piso para repetibilidade.,2026-08-29
82,Apoio clínico,Fotografia,Iluminação fotográfica difusa,Dois painéis LED com CRI alto,kit,1,0,600,1800,MÉDIA,Fase 1,SEGURANÇA ELÉTRICA,Avaliação,,Varejo fotografia,,"Evitar ring light como única fonte; padronizar altura, distância e balanço de branco.",2026-08-29
83,Apoio clínico,Fotografia,Fundo fotográfico lavável,Cinza neutro fosco,un,1,0,250,800,MÉDIA,Fase 1,NÃO REGULADO,Avaliação,,Varejo fotografia,,Sem reflexo e com marcação de posição.,2026-08-29
84,Apoio clínico,Fotografia,Escala/cartão de cor,Escala métrica e cinza neutro,un,2,1,50,250,MÉDIA,Fase 1,NÃO REGULADO,Avaliação,,Varejo fotografia,,Higienizável e sem dados do paciente.,2026-08-29
85,Tecnologia,Administração,Notebook administrativo,"16 GB RAM, SSD e câmera",un,1,0,3000,5500,ALTA,Fase 1,LGPD/SEGURANÇA,Administração,,Varejo,,"Criptografia, senha forte e bloqueio automático.",2026-08-29
86,Tecnologia,Administração,Impressora multifuncional,Tanque de tinta ou laser,un,1,0,900,1800,MÉDIA,Fase 1,LGPD/SEGURANÇA,Administração,,Varejo,,Evitar bandeja de saída acessível ao público.,2026-08-29
87,Tecnologia,Administração,Impressora térmica de etiquetas,Compatível com etiquetas de lote,un,1,0,500,1200,MÉDIA,Fase 1,RASTREABILIDADE,Administração,,Varejo,,Integrar ao estoque futuramente.,2026-08-29
88,Tecnologia,Energia,Nobreak para rede e computador,1200–1500 VA,un,1,0,800,1600,MÉDIA,Fase 1,SEGURANÇA ELÉTRICA,Administração,,Varejo,,Não ligar equipamentos terapêuticos sem autorização do fabricante.,2026-08-29
89,Segurança,Incêndio,Extintor e suporte,Tipo/quantidade definidos pelo AVCB/CLCB,conj,1,0,250,600,ALTA,Obra,VALIDAR BOMBEIROS,Circulação,,Empresa certificada,,Não definir classe sem projeto e regra local.,2026-08-29
90,Segurança,Emergência,Luminária de emergência,Autônoma e testável,un,3,0,60,180,ALTA,Obra,VALIDAR BOMBEIROS,Circulação,,Empresa elétrica,,Posições conforme projeto e saída.,2026-08-29
91,Segurança,Emergência,Placa de saída e rota,Fotoluminescente,conj,1,0,120,350,ALTA,Obra,VALIDAR BOMBEIROS/ACESSIBILIDADE,Circulação,,Empresa certificada,,Altura e contraste conforme projeto local.,2026-08-29
92,Limpeza,Equipamentos,Mop úmido com refil,Sistema profissional,kit,2,1,120,300,ALTA,Fase 1,POP DE LIMPEZA,DML/área técnica,,Varejo profissional,,Separar refis por área/cor.,2026-08-29
93,Limpeza,Equipamentos,Balde duplo com espremedor,20–30 L,un,1,0,180,500,ALTA,Fase 1,POP DE LIMPEZA,DML/área técnica,,Varejo profissional,,Compatível com técnica aprovada.,2026-08-29
94,Limpeza,Equipamentos,Panos de microfibra coloridos,Cores por área,un,24,8,4,12,ALTA,Fase 1,POP DE LIMPEZA,DML/área técnica,,Varejo,,"Não misturar panos de sanitário, recepção e área assistencial.",2026-08-29
95,Limpeza,Segurança,Placa piso molhado,Dobrável,un,2,0,40,100,ALTA,Fase 1,SEGURANÇA,DML/área técnica,,Varejo,,Manter rota alternativa livre.,2026-08-29
96,Limpeza,EPI,Luva de borracha cano longo,Tamanhos por equipe,par,4,2,12,35,ALTA,Fase 1,VALIDAR CA,DML/área técnica,,Distribuidor EPI,,Uso exclusivo por área.,2026-08-29
97,Limpeza,Armazenamento,Armário exclusivo para saneantes,"Fechado, ventilado e sinalizado",un,1,0,500,1400,ALTA,Obra,POP DE LIMPEZA,Área técnica,,Marcenaria local,,Fora do alcance do público e separado de cosméticos.,2026-08-29
98,Sanitário,Acessibilidade,Barras de apoio,Inox e fixação estrutural,conj,1,0,450,1200,ALTA,Obra,NBR 9050/VALIDAR,Sanitário acessível,,Fornecedor acessibilidade,,Instalação conforme prancha A-03 e reforço de parede.,2026-08-29
99,Sanitário,Acessórios,Dispenser sabonete,Acionamento fácil e lavável,un,1,0,50,180,ALTA,Obra,HIGIENIZAÇÃO,Sanitário acessível,,Varejo,,Altura e alcance acessíveis.,2026-08-29
100,Sanitário,Acessórios,Dispenser papel-toalha,Interfolhado,un,1,0,60,220,ALTA,Obra,HIGIENIZAÇÃO,Sanitário acessível,,Varejo,,Evitar secador de ar na fase inicial.,2026-08-29
101,Sanitário,Acessórios,Espelho acessível,Fixação segura,un,1,0,180,450,ALTA,Obra,NBR 9050/VALIDAR,Sanitário acessível,,Vidraçaria local,,Inclinação/altura conforme projeto.,2026-08-29
102,Esterilização,Consumíveis,Envelope grau cirúrgico c/200,Tamanho definido pelos artigos,cx,2,1,45,85,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Dental Cremer,https://www.dentalcremer.com.br/,Compatível com seladora e autoclave.,2026-08-29
103,Esterilização,Controle,Indicador químico,Classe definida pelo RT,pct,1,1,40,100,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Distribuidor,,Aplicação por ciclo conforme POP.,2026-08-29
104,Esterilização,Controle,Indicador biológico,Compatível com autoclave,pct,1,1,50,150,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Distribuidor,,Frequência aprovada pelo RT e norma aplicável.,2026-08-29
